design	22B2	22B1	22B2_normalized	22B1_normalized
A1034_1072085[c+]f	4.0	4.0	4.0	4.0
A1034_1072085[c+]r	4.0	4.0	4.0	4.0
A1035_1072575[c-]f	8.0	8.0	8.0	8.0
A1035_1072575[c-]r	8.0	8.0	8.0	8.0
A1035_1072578[c-]f	33.0	33.0	33.0	33.0
A1035_1072578[c-]r	33.0	33.0	33.0	33.0
A1035_1072615[c-]f	15.0	15.0	15.0	15.0
A1035_1072615[c-]r	15.0	15.0	15.0	15.0
A1035_1072629[c-]f	2.0	2.0	2.0	2.0
A1035_1072629[c-]r	2.0	2.0	2.0	2.0
A1035_1072640[c-]f	6.0	6.0	6.0	6.0
A1035_1072640[c-]r	6.0	6.0	6.0	6.0
A1035_1072641[c-]f	3.0	3.0	3.0	3.0
A1035_1072641[c-]r	3.0	3.0	3.0	3.0
A1035_1072661[c-]f	16.0	16.0	16.0	16.0
A1035_1072661[c-]r	16.0	16.0	16.0	16.0
A1035_1072740[c-]f	5.0	5.0	5.0	5.0
A1035_1072740[c-]r	5.0	5.0	5.0	5.0
A1035_1072788[c-]f	13.0	13.0	13.0	13.0
A1035_1072788[c-]r	13.0	13.0	13.0	13.0
A1035_1072813[c-]f	5.0	5.0	5.0	5.0
A1035_1072813[c-]r	5.0	5.0	5.0	5.0
A1036_1073734[c+]f	3.0	3.0	3.0	3.0
A1036_1073734[c+]r	3.0	3.0	3.0	3.0
A1036_1073823[c+]f	78.0	78.0	78.0	78.0
A1036_1073823[c+]r	78.0	78.0	78.0	78.0
A1036_1073955[c+]f	0.0	0.0	0.0	0.0
A1036_1073955[c+]r	0.0	0.0	0.0	0.0
A1036_1073973[c+]f	0.0	0.0	0.0	0.0
A1036_1073973[c+]r	0.0	0.0	0.0	0.0
A1036_1073974[c+]f	3.0	3.0	3.0	3.0
A1036_1073974[c+]r	3.0	3.0	3.0	3.0
A1036_1073979[c+]f	7.0	7.0	7.0	7.0
A1036_1073979[c+]r	7.0	7.0	7.0	7.0
A1036_1073984[c+]f	5.0	5.0	5.0	5.0
A1036_1073984[c+]r	5.0	5.0	5.0	5.0
A1036_1073990[c+]f	1.0	1.0	1.0	1.0
A1036_1073990[c+]r	1.0	1.0	1.0	1.0
A1036_1073991[c+]f	3.0	3.0	3.0	3.0
A1036_1073991[c+]r	3.0	3.0	3.0	3.0
A1036_1074018[c+]f	17.0	17.0	17.0	17.0
A1036_1074018[c+]r	17.0	17.0	17.0	17.0
A1037_1074256[c+]f	0.0	0.0	0.0	0.0
A1037_1074256[c+]r	0.0	0.0	0.0	0.0
A1037_1074257[c+]f	0.0	0.0	0.0	0.0
A1037_1074257[c+]r	0.0	0.0	0.0	0.0
A1037_1074261[c+]f	0.0	0.0	0.0	0.0
A1037_1074261[c+]r	0.0	0.0	0.0	0.0
A1037_1074297[c+]f	0.0	0.0	0.0	0.0
A1037_1074297[c+]r	0.0	0.0	0.0	0.0
A1037_1074298[c+]f	0.0	0.0	0.0	0.0
A1037_1074298[c+]r	0.0	0.0	0.0	0.0
A1037_1074343[c+]f	0.0	0.0	0.0	0.0
A1037_1074343[c+]r	0.0	0.0	0.0	0.0
A1037_1074350[c+]f	0.0	0.0	0.0	0.0
A1037_1074350[c+]r	0.0	0.0	0.0	0.0
A1037_1074351[c+]f	0.0	0.0	0.0	0.0
A1037_1074351[c+]r	0.0	0.0	0.0	0.0
A1037_1074361[c+]f	0.0	0.0	0.0	0.0
A1037_1074361[c+]r	0.0	0.0	0.0	0.0
A1037_1074379[c+]f	0.0	0.0	0.0	0.0
A1037_1074379[c+]r	0.0	0.0	0.0	0.0
A1038_1074541[c+]f	0.0	0.0	0.0	0.0
A1038_1074541[c+]r	0.0	0.0	0.0	0.0
A1038_1074731[c+]f	0.0	0.0	0.0	0.0
A1038_1074731[c+]r	0.0	0.0	0.0	0.0
A1038_1074739[c+]f	0.0	0.0	0.0	0.0
A1038_1074739[c+]r	0.0	0.0	0.0	0.0
A1038_1074746[c+]f	3.0	3.0	3.0	3.0
A1038_1074746[c+]r	3.0	3.0	3.0	3.0
A1038_1074770[c+]f	0.0	0.0	0.0	0.0
A1038_1074770[c+]r	0.0	0.0	0.0	0.0
A1038_1074806[c+]f	0.0	0.0	0.0	0.0
A1038_1074806[c+]r	0.0	0.0	0.0	0.0
A1038_1074815[c+]f	0.0	0.0	0.0	0.0
A1038_1074815[c+]r	0.0	0.0	0.0	0.0
A1038_1074816[c+]f	0.0	0.0	0.0	0.0
A1038_1074816[c+]r	0.0	0.0	0.0	0.0
A1038_1074856[c+]f	0.0	0.0	0.0	0.0
A1038_1074856[c+]r	0.0	0.0	0.0	0.0
A1038_1074857[c+]f	0.0	0.0	0.0	0.0
A1038_1074857[c+]r	0.0	0.0	0.0	0.0
A1039_1074914[c+]f	0.0	0.0	0.0	0.0
A1039_1074914[c+]r	0.0	0.0	0.0	0.0
A1039_1074997[c+]f	0.0	0.0	0.0	0.0
A1039_1074997[c+]r	0.0	0.0	0.0	0.0
A1039_1075095[c+]f	0.0	0.0	0.0	0.0
A1039_1075095[c+]r	0.0	0.0	0.0	0.0
A1039_1075103[c+]f	0.0	0.0	0.0	0.0
A1039_1075103[c+]r	0.0	0.0	0.0	0.0
A1039_1075114[c+]f	0.0	0.0	0.0	0.0
A1039_1075114[c+]r	0.0	0.0	0.0	0.0
A1039_1075199[c+]f	0.0	0.0	0.0	0.0
A1039_1075199[c+]r	0.0	0.0	0.0	0.0
A1039_1075250[c+]f	0.0	0.0	0.0	0.0
A1039_1075250[c+]r	0.0	0.0	0.0	0.0
A1039_1075270[c+]f	1.0	1.0	1.0	1.0
A1039_1075270[c+]r	1.0	1.0	1.0	1.0
A1039_1075307[c+]f	0.0	0.0	0.0	0.0
A1039_1075307[c+]r	0.0	0.0	0.0	0.0
A1039_1075326[c+]f	0.0	0.0	0.0	0.0
A1039_1075326[c+]r	0.0	0.0	0.0	0.0
A1040_1075926[c+]f	0.0	0.0	0.0	0.0
A1040_1075926[c+]r	0.0	0.0	0.0	0.0
A1040_1076003[c+]f	5.0	5.0	5.0	5.0
A1040_1076003[c+]r	5.0	5.0	5.0	5.0
A1040_1076024[c+]f	0.0	0.0	0.0	0.0
A1040_1076024[c+]r	0.0	0.0	0.0	0.0
A1040_1076033[c+]f	0.0	0.0	0.0	0.0
A1040_1076033[c+]r	0.0	0.0	0.0	0.0
A1040_1076056[c+]f	115.0	115.0	115.0	115.0
A1040_1076056[c+]r	115.0	115.0	115.0	115.0
A1040_1076152[c+]f	2.0	2.0	2.0	2.0
A1040_1076152[c+]r	2.0	2.0	2.0	2.0
A1040_1076177[c+]f	0.0	0.0	0.0	0.0
A1040_1076177[c+]r	0.0	0.0	0.0	0.0
A1040_1076178[c+]f	0.0	0.0	0.0	0.0
A1040_1076178[c+]r	0.0	0.0	0.0	0.0
A1040_1076179[c+]f	0.0	0.0	0.0	0.0
A1040_1076179[c+]r	0.0	0.0	0.0	0.0
A1040_1076196[c+]f	0.0	0.0	0.0	0.0
A1040_1076196[c+]r	0.0	0.0	0.0	0.0
A1041_1076332[c+]f	0.0	0.0	0.0	0.0
A1041_1076332[c+]r	0.0	0.0	0.0	0.0
A1041_1076342[c+]f	0.0	0.0	0.0	0.0
A1041_1076342[c+]r	0.0	0.0	0.0	0.0
A1041_1076399[c+]f	0.0	0.0	0.0	0.0
A1041_1076399[c+]r	0.0	0.0	0.0	0.0
A1041_1076465[c+]f	0.0	0.0	0.0	0.0
A1041_1076465[c+]r	0.0	0.0	0.0	0.0
A1041_1076468[c+]f	3.0	3.0	3.0	3.0
A1041_1076468[c+]r	3.0	3.0	3.0	3.0
A1041_1076485[c+]f	0.0	0.0	0.0	0.0
A1041_1076485[c+]r	0.0	0.0	0.0	0.0
A1041_1076501[c+]f	0.0	0.0	0.0	0.0
A1041_1076501[c+]r	0.0	0.0	0.0	0.0
A1041_1076506[c+]f	0.0	0.0	0.0	0.0
A1041_1076506[c+]r	0.0	0.0	0.0	0.0
A1041_1076518[c+]f	0.0	0.0	0.0	0.0
A1041_1076518[c+]r	0.0	0.0	0.0	0.0
A1041_1076519[c+]f	0.0	0.0	0.0	0.0
A1041_1076519[c+]r	0.0	0.0	0.0	0.0
A1042_1077205[c+]f	0.0	0.0	0.0	0.0
A1042_1077205[c+]r	0.0	0.0	0.0	0.0
A1042_1077206[c+]f	0.0	0.0	0.0	0.0
A1042_1077206[c+]r	0.0	0.0	0.0	0.0
A1042_1077286[c+]f	0.0	0.0	0.0	0.0
A1042_1077286[c+]r	0.0	0.0	0.0	0.0
A1042_1077340[c+]f	62.0	62.0	62.0	62.0
A1042_1077340[c+]r	62.0	62.0	62.0	62.0
A1042_1077372[c+]f	13.0	13.0	13.0	13.0
A1042_1077372[c+]r	13.0	13.0	13.0	13.0
A1042_1077373[c+]f	0.0	0.0	0.0	0.0
A1042_1077373[c+]r	0.0	0.0	0.0	0.0
A1042_1077391[c+]f	340.0	340.0	340.0	340.0
A1042_1077391[c+]r	340.0	340.0	340.0	340.0
A1042_1077425[c+]f	423.0	423.0	423.0	423.0
A1042_1077425[c+]r	423.0	423.0	423.0	423.0
A1042_1077461[c+]f	62.0	62.0	62.0	62.0
A1042_1077461[c+]r	62.0	62.0	62.0	62.0
A1042_1077498[c+]f	0.0	0.0	0.0	0.0
A1042_1077498[c+]r	0.0	0.0	0.0	0.0
A1043_1077709[c+]f	0.0	0.0	0.0	0.0
A1043_1077709[c+]r	0.0	0.0	0.0	0.0
A1043_1077757[c+]f	0.0	0.0	0.0	0.0
A1043_1077757[c+]r	0.0	0.0	0.0	0.0
A1043_1077840[c+]f	0.0	0.0	0.0	0.0
A1043_1077840[c+]r	0.0	0.0	0.0	0.0
A1043_1077976[c+]f	0.0	0.0	0.0	0.0
A1043_1077976[c+]r	0.0	0.0	0.0	0.0
A1043_1077982[c+]f	0.0	0.0	0.0	0.0
A1043_1077982[c+]r	0.0	0.0	0.0	0.0
A1043_1078003[c+]f	0.0	0.0	0.0	0.0
A1043_1078003[c+]r	0.0	0.0	0.0	0.0
A1043_1078006[c+]f	0.0	0.0	0.0	0.0
A1043_1078006[c+]r	0.0	0.0	0.0	0.0
A1043_1078017[c+]f	2.0	2.0	2.0	2.0
A1043_1078017[c+]r	2.0	2.0	2.0	2.0
A1043_1078032[c+]f	0.0	0.0	0.0	0.0
A1043_1078032[c+]r	0.0	0.0	0.0	0.0
A1043_1078055[c+]f	0.0	0.0	0.0	0.0
A1043_1078055[c+]r	0.0	0.0	0.0	0.0
A1044_1078228[c+]f	0.0	0.0	0.0	0.0
A1044_1078228[c+]r	0.0	0.0	0.0	0.0
A1044_1078229[c+]f	0.0	0.0	0.0	0.0
A1044_1078229[c+]r	0.0	0.0	0.0	0.0
A1044_1078257[c+]f	20.0	20.0	20.0	20.0
A1044_1078257[c+]r	20.0	20.0	20.0	20.0
A1044_1078326[c+]f	0.0	0.0	0.0	0.0
A1044_1078326[c+]r	0.0	0.0	0.0	0.0
A1044_1078336[c+]f	0.0	0.0	0.0	0.0
A1044_1078336[c+]r	0.0	0.0	0.0	0.0
A1044_1078397[c+]f	0.0	0.0	0.0	0.0
A1044_1078397[c+]r	0.0	0.0	0.0	0.0
A1044_1078398[c+]f	2.0	2.0	2.0	2.0
A1044_1078398[c+]r	2.0	2.0	2.0	2.0
A1044_1078429[c+]f	0.0	0.0	0.0	0.0
A1044_1078429[c+]r	0.0	0.0	0.0	0.0
A1044_1078489[c+]f	0.0	0.0	0.0	0.0
A1044_1078489[c+]r	0.0	0.0	0.0	0.0
A1044_1078490[c+]f	0.0	0.0	0.0	0.0
A1044_1078490[c+]r	0.0	0.0	0.0	0.0
A1045_1078862[c+]f	1.0	1.0	1.0	1.0
A1045_1078862[c+]r	1.0	1.0	1.0	1.0
A1045_1078866[c+]f	0.0	0.0	0.0	0.0
A1045_1078866[c+]r	0.0	0.0	0.0	0.0
A1045_1078893[c+]f	0.0	0.0	0.0	0.0
A1045_1078893[c+]r	0.0	0.0	0.0	0.0
A1045_1078894[c+]f	0.0	0.0	0.0	0.0
A1045_1078894[c+]r	0.0	0.0	0.0	0.0
A1045_1078895[c+]f	1.0	1.0	1.0	1.0
A1045_1078895[c+]r	1.0	1.0	1.0	1.0
A1045_1078896[c+]f	0.0	0.0	0.0	0.0
A1045_1078896[c+]r	0.0	0.0	0.0	0.0
A1045_1078968[c+]f	0.0	0.0	0.0	0.0
A1045_1078968[c+]r	0.0	0.0	0.0	0.0
A1045_1079003[c+]f	0.0	0.0	0.0	0.0
A1045_1079003[c+]r	0.0	0.0	0.0	0.0
A1045_1079016[c+]f	0.0	0.0	0.0	0.0
A1045_1079016[c+]r	0.0	0.0	0.0	0.0
A1045_1079017[c+]f	1.0	1.0	1.0	1.0
A1045_1079017[c+]r	1.0	1.0	1.0	1.0
A1046_1079230[c+]f	1.0	1.0	1.0	1.0
A1046_1079230[c+]r	1.0	1.0	1.0	1.0
A1046_1079330[c+]f	0.0	0.0	0.0	0.0
A1046_1079330[c+]r	0.0	0.0	0.0	0.0
A1046_1079383[c+]f	0.0	0.0	0.0	0.0
A1046_1079383[c+]r	0.0	0.0	0.0	0.0
A1046_1079417[c+]f	0.0	0.0	0.0	0.0
A1046_1079417[c+]r	0.0	0.0	0.0	0.0
A1046_1079445[c+]f	2.0	2.0	2.0	2.0
A1046_1079445[c+]r	2.0	2.0	2.0	2.0
A1046_1079446[c+]f	0.0	0.0	0.0	0.0
A1046_1079446[c+]r	0.0	0.0	0.0	0.0
A1046_1079498[c+]f	0.0	0.0	0.0	0.0
A1046_1079498[c+]r	0.0	0.0	0.0	0.0
A1046_1079596[c+]f	0.0	0.0	0.0	0.0
A1046_1079596[c+]r	0.0	0.0	0.0	0.0
A1046_1079652[c+]f	0.0	0.0	0.0	0.0
A1046_1079652[c+]r	0.0	0.0	0.0	0.0
A1046_1079653[c+]f	0.0	0.0	0.0	0.0
A1046_1079653[c+]r	0.0	0.0	0.0	0.0
A1047_1080721[c+]f	1.0	1.0	1.0	1.0
A1047_1080721[c+]r	1.0	1.0	1.0	1.0
A1047_1080834[c+]f	0.0	0.0	0.0	0.0
A1047_1080834[c+]r	0.0	0.0	0.0	0.0
A1047_1080847[c+]f	0.0	0.0	0.0	0.0
A1047_1080847[c+]r	0.0	0.0	0.0	0.0
A1047_1080848[c+]f	0.0	0.0	0.0	0.0
A1047_1080848[c+]r	0.0	0.0	0.0	0.0
A1047_1080866[c+]f	0.0	0.0	0.0	0.0
A1047_1080866[c+]r	0.0	0.0	0.0	0.0
A1047_1080934[c+]f	0.0	0.0	0.0	0.0
A1047_1080934[c+]r	0.0	0.0	0.0	0.0
A1047_1080935[c+]f	0.0	0.0	0.0	0.0
A1047_1080935[c+]r	0.0	0.0	0.0	0.0
A1047_1081001[c+]f	0.0	0.0	0.0	0.0
A1047_1081001[c+]r	0.0	0.0	0.0	0.0
A1047_1081031[c+]f	0.0	0.0	0.0	0.0
A1047_1081031[c+]r	0.0	0.0	0.0	0.0
A1047_1081052[c+]f	0.0	0.0	0.0	0.0
A1047_1081052[c+]r	0.0	0.0	0.0	0.0
A1048_1081404[c+]f	0.0	0.0	0.0	0.0
A1048_1081404[c+]r	0.0	0.0	0.0	0.0
A1048_1081417[c+]f	1.0	1.0	1.0	1.0
A1048_1081417[c+]r	1.0	1.0	1.0	1.0
A1048_1081428[c+]f	2.0	2.0	2.0	2.0
A1048_1081428[c+]r	2.0	2.0	2.0	2.0
A1048_1081454[c+]f	0.0	0.0	0.0	0.0
A1048_1081454[c+]r	0.0	0.0	0.0	0.0
A1048_1081464[c+]f	36.0	36.0	36.0	36.0
A1048_1081464[c+]r	36.0	36.0	36.0	36.0
A1048_1081553[c+]f	0.0	0.0	0.0	0.0
A1048_1081553[c+]r	0.0	0.0	0.0	0.0
A1048_1081557[c+]f	0.0	0.0	0.0	0.0
A1048_1081557[c+]r	0.0	0.0	0.0	0.0
A1048_1081586[c+]f	2.0	2.0	2.0	2.0
A1048_1081586[c+]r	2.0	2.0	2.0	2.0
A1048_1081609[c+]f	1.0	1.0	1.0	1.0
A1048_1081609[c+]r	1.0	1.0	1.0	1.0
A1048_1081632[c+]f	0.0	0.0	0.0	0.0
A1048_1081632[c+]r	0.0	0.0	0.0	0.0
A1049_1081721[c+]f	0.0	0.0	0.0	0.0
A1049_1081721[c+]r	0.0	0.0	0.0	0.0
A1049_1081722[c+]f	0.0	0.0	0.0	0.0
A1049_1081722[c+]r	0.0	0.0	0.0	0.0
A1049_1081764[c+]f	0.0	0.0	0.0	0.0
A1049_1081764[c+]r	0.0	0.0	0.0	0.0
A1049_1081875[c+]f	0.0	0.0	0.0	0.0
A1049_1081875[c+]r	0.0	0.0	0.0	0.0
A1049_1081881[c+]f	0.0	0.0	0.0	0.0
A1049_1081881[c+]r	0.0	0.0	0.0	0.0
A1049_1081882[c+]f	0.0	0.0	0.0	0.0
A1049_1081882[c+]r	0.0	0.0	0.0	0.0
A1049_1081950[c+]f	1.0	1.0	1.0	1.0
A1049_1081950[c+]r	1.0	1.0	1.0	1.0
A1049_1082010[c+]f	0.0	0.0	0.0	0.0
A1049_1082010[c+]r	0.0	0.0	0.0	0.0
A1049_1082058[c+]f	0.0	0.0	0.0	0.0
A1049_1082058[c+]r	0.0	0.0	0.0	0.0
A1049_1082082[c+]f	0.0	0.0	0.0	0.0
A1049_1082082[c+]r	0.0	0.0	0.0	0.0
A1050_1082297[c+]f	0.0	0.0	0.0	0.0
A1050_1082297[c+]r	0.0	0.0	0.0	0.0
A1050_1082352[c+]f	0.0	0.0	0.0	0.0
A1050_1082352[c+]r	0.0	0.0	0.0	0.0
A1050_1082376[c+]f	0.0	0.0	0.0	0.0
A1050_1082376[c+]r	0.0	0.0	0.0	0.0
A1050_1082448[c+]f	0.0	0.0	0.0	0.0
A1050_1082448[c+]r	0.0	0.0	0.0	0.0
A1050_1082478[c+]f	0.0	0.0	0.0	0.0
A1050_1082478[c+]r	0.0	0.0	0.0	0.0
A1050_1082496[c+]f	0.0	0.0	0.0	0.0
A1050_1082496[c+]r	0.0	0.0	0.0	0.0
A1050_1082517[c+]f	0.0	0.0	0.0	0.0
A1050_1082517[c+]r	0.0	0.0	0.0	0.0
A1050_1082518[c+]f	68.0	68.0	68.0	68.0
A1050_1082518[c+]r	68.0	68.0	68.0	68.0
A1050_1082519[c+]f	0.0	0.0	0.0	0.0
A1050_1082519[c+]r	0.0	0.0	0.0	0.0
A1050_1082546[c+]f	1.0	1.0	1.0	1.0
A1050_1082546[c+]r	1.0	1.0	1.0	1.0
A1051_1082790[c+]f	0.0	0.0	0.0	0.0
A1051_1082790[c+]r	0.0	0.0	0.0	0.0
A1051_1082960[c+]f	0.0	0.0	0.0	0.0
A1051_1082960[c+]r	0.0	0.0	0.0	0.0
A1051_1082983[c+]f	0.0	0.0	0.0	0.0
A1051_1082983[c+]r	0.0	0.0	0.0	0.0
A1051_1082984[c+]f	0.0	0.0	0.0	0.0
A1051_1082984[c+]r	0.0	0.0	0.0	0.0
A1051_1082996[c+]f	0.0	0.0	0.0	0.0
A1051_1082996[c+]r	0.0	0.0	0.0	0.0
A1051_1083046[c+]f	13.0	13.0	13.0	13.0
A1051_1083046[c+]r	13.0	13.0	13.0	13.0
A1051_1083107[c+]f	0.0	0.0	0.0	0.0
A1051_1083107[c+]r	0.0	0.0	0.0	0.0
A1051_1083108[c+]f	0.0	0.0	0.0	0.0
A1051_1083108[c+]r	0.0	0.0	0.0	0.0
A1051_1083113[c+]f	0.0	0.0	0.0	0.0
A1051_1083113[c+]r	0.0	0.0	0.0	0.0
A1051_1083120[c+]f	0.0	0.0	0.0	0.0
A1051_1083120[c+]r	0.0	0.0	0.0	0.0
A1052_1083291[c+]f	0.0	0.0	0.0	0.0
A1052_1083291[c+]r	0.0	0.0	0.0	0.0
A1052_1083388[c+]f	2.0	2.0	2.0	2.0
A1052_1083388[c+]r	2.0	2.0	2.0	2.0
A1052_1083389[c+]f	0.0	0.0	0.0	0.0
A1052_1083389[c+]r	0.0	0.0	0.0	0.0
A1052_1083467[c+]f	0.0	0.0	0.0	0.0
A1052_1083467[c+]r	0.0	0.0	0.0	0.0
A1052_1083478[c+]f	0.0	0.0	0.0	0.0
A1052_1083478[c+]r	0.0	0.0	0.0	0.0
A1052_1083535[c+]f	0.0	0.0	0.0	0.0
A1052_1083535[c+]r	0.0	0.0	0.0	0.0
A1052_1083541[c+]f	0.0	0.0	0.0	0.0
A1052_1083541[c+]r	0.0	0.0	0.0	0.0
A1052_1083542[c+]f	0.0	0.0	0.0	0.0
A1052_1083542[c+]r	0.0	0.0	0.0	0.0
A1052_1083554[c+]f	0.0	0.0	0.0	0.0
A1052_1083554[c+]r	0.0	0.0	0.0	0.0
A1052_1083560[c+]f	0.0	0.0	0.0	0.0
A1052_1083560[c+]r	0.0	0.0	0.0	0.0
A1053_1083618[c+]f	14.0	14.0	14.0	14.0
A1053_1083618[c+]r	14.0	14.0	14.0	14.0
A1053_1083619[c+]f	0.0	0.0	0.0	0.0
A1053_1083619[c+]r	0.0	0.0	0.0	0.0
A1053_1083852[c+]f	0.0	0.0	0.0	0.0
A1053_1083852[c+]r	0.0	0.0	0.0	0.0
A1053_1083895[c+]f	0.0	0.0	0.0	0.0
A1053_1083895[c+]r	0.0	0.0	0.0	0.0
A1053_1083969[c+]f	1.0	1.0	1.0	1.0
A1053_1083969[c+]r	1.0	1.0	1.0	1.0
A1053_1084034[c+]f	0.0	0.0	0.0	0.0
A1053_1084034[c+]r	0.0	0.0	0.0	0.0
A1053_1084060[c+]f	0.0	0.0	0.0	0.0
A1053_1084060[c+]r	0.0	0.0	0.0	0.0
A1053_1084105[c+]f	0.0	0.0	0.0	0.0
A1053_1084105[c+]r	0.0	0.0	0.0	0.0
A1053_1084127[c+]f	0.0	0.0	0.0	0.0
A1053_1084127[c+]r	0.0	0.0	0.0	0.0
A1053_1084128[c+]f	0.0	0.0	0.0	0.0
A1053_1084128[c+]r	0.0	0.0	0.0	0.0
A1054_1084267[c+]f	0.0	0.0	0.0	0.0
A1054_1084267[c+]r	0.0	0.0	0.0	0.0
A1054_1084337[c+]f	0.0	0.0	0.0	0.0
A1054_1084337[c+]r	0.0	0.0	0.0	0.0
A1054_1084361[c+]f	0.0	0.0	0.0	0.0
A1054_1084361[c+]r	0.0	0.0	0.0	0.0
A1054_1084409[c+]f	0.0	0.0	0.0	0.0
A1054_1084409[c+]r	0.0	0.0	0.0	0.0
A1054_1084547[c+]f	0.0	0.0	0.0	0.0
A1054_1084547[c+]r	0.0	0.0	0.0	0.0
A1054_1084548[c+]f	0.0	0.0	0.0	0.0
A1054_1084548[c+]r	0.0	0.0	0.0	0.0
A1054_1084549[c+]f	0.0	0.0	0.0	0.0
A1054_1084549[c+]r	0.0	0.0	0.0	0.0
A1054_1084550[c+]f	0.0	0.0	0.0	0.0
A1054_1084550[c+]r	0.0	0.0	0.0	0.0
A1054_1084553[c+]f	0.0	0.0	0.0	0.0
A1054_1084553[c+]r	0.0	0.0	0.0	0.0
A1054_1084574[c+]f	17.0	17.0	17.0	17.0
A1054_1084574[c+]r	17.0	17.0	17.0	17.0
A1055_1084635[c+]f	0.0	0.0	0.0	0.0
A1055_1084635[c+]r	0.0	0.0	0.0	0.0
A1055_1084636[c+]f	0.0	0.0	0.0	0.0
A1055_1084636[c+]r	0.0	0.0	0.0	0.0
A1055_1084642[c+]f	4.0	4.0	4.0	4.0
A1055_1084642[c+]r	4.0	4.0	4.0	4.0
A1055_1084667[c+]f	0.0	0.0	0.0	0.0
A1055_1084667[c+]r	0.0	0.0	0.0	0.0
A1055_1084734[c+]f	0.0	0.0	0.0	0.0
A1055_1084734[c+]r	0.0	0.0	0.0	0.0
A1055_1084765[c+]f	0.0	0.0	0.0	0.0
A1055_1084765[c+]r	0.0	0.0	0.0	0.0
A1055_1084802[c+]f	0.0	0.0	0.0	0.0
A1055_1084802[c+]r	0.0	0.0	0.0	0.0
A1055_1084912[c+]f	0.0	0.0	0.0	0.0
A1055_1084912[c+]r	0.0	0.0	0.0	0.0
A1055_1084927[c+]f	2.0	2.0	2.0	2.0
A1055_1084927[c+]r	2.0	2.0	2.0	2.0
A1055_1084945[c+]f	0.0	0.0	0.0	0.0
A1055_1084945[c+]r	0.0	0.0	0.0	0.0
A1056_1085008[c+]f	0.0	0.0	0.0	0.0
A1056_1085008[c+]r	0.0	0.0	0.0	0.0
A1056_1085045[c+]f	0.0	0.0	0.0	0.0
A1056_1085045[c+]r	0.0	0.0	0.0	0.0
A1056_1085046[c+]f	0.0	0.0	0.0	0.0
A1056_1085046[c+]r	0.0	0.0	0.0	0.0
A1056_1085105[c+]f	0.0	0.0	0.0	0.0
A1056_1085105[c+]r	0.0	0.0	0.0	0.0
A1056_1085120[c+]f	0.0	0.0	0.0	0.0
A1056_1085120[c+]r	0.0	0.0	0.0	0.0
A1056_1085152[c+]f	22.0	22.0	22.0	22.0
A1056_1085152[c+]r	22.0	22.0	22.0	22.0
A1056_1085153[c+]f	0.0	0.0	0.0	0.0
A1056_1085153[c+]r	0.0	0.0	0.0	0.0
A1056_1085154[c+]f	0.0	0.0	0.0	0.0
A1056_1085154[c+]r	0.0	0.0	0.0	0.0
A1056_1085161[c+]f	0.0	0.0	0.0	0.0
A1056_1085161[c+]r	0.0	0.0	0.0	0.0
A1056_1085183[c+]f	0.0	0.0	0.0	0.0
A1056_1085183[c+]r	0.0	0.0	0.0	0.0
A1057_1085269[c+]f	0.0	0.0	0.0	0.0
A1057_1085269[c+]r	0.0	0.0	0.0	0.0
A1057_1085302[c+]f	0.0	0.0	0.0	0.0
A1057_1085302[c+]r	0.0	0.0	0.0	0.0
A1057_1085311[c+]f	1.0	1.0	1.0	1.0
A1057_1085311[c+]r	1.0	1.0	1.0	1.0
A1057_1085335[c+]f	0.0	0.0	0.0	0.0
A1057_1085335[c+]r	0.0	0.0	0.0	0.0
A1057_1085365[c+]f	0.0	0.0	0.0	0.0
A1057_1085365[c+]r	0.0	0.0	0.0	0.0
A1057_1085371[c+]f	0.0	0.0	0.0	0.0
A1057_1085371[c+]r	0.0	0.0	0.0	0.0
A1057_1085374[c+]f	0.0	0.0	0.0	0.0
A1057_1085374[c+]r	0.0	0.0	0.0	0.0
A1057_1085396[c+]f	0.0	0.0	0.0	0.0
A1057_1085396[c+]r	0.0	0.0	0.0	0.0
A1057_1085453[c+]f	0.0	0.0	0.0	0.0
A1057_1085453[c+]r	0.0	0.0	0.0	0.0
A1057_1085454[c+]f	0.0	0.0	0.0	0.0
A1057_1085454[c+]r	0.0	0.0	0.0	0.0
A1058_1085537[c+]f	0.0	0.0	0.0	0.0
A1058_1085537[c+]r	0.0	0.0	0.0	0.0
A1058_1085545[c+]f	0.0	0.0	0.0	0.0
A1058_1085545[c+]r	0.0	0.0	0.0	0.0
A1058_1085619[c+]f	0.0	0.0	0.0	0.0
A1058_1085619[c+]r	0.0	0.0	0.0	0.0
A1058_1085644[c+]f	0.0	0.0	0.0	0.0
A1058_1085644[c+]r	0.0	0.0	0.0	0.0
A1058_1085679[c+]f	0.0	0.0	0.0	0.0
A1058_1085679[c+]r	0.0	0.0	0.0	0.0
A1058_1085737[c+]f	0.0	0.0	0.0	0.0
A1058_1085737[c+]r	0.0	0.0	0.0	0.0
A1058_1085759[c+]f	0.0	0.0	0.0	0.0
A1058_1085759[c+]r	0.0	0.0	0.0	0.0
A1058_1085772[c+]f	0.0	0.0	0.0	0.0
A1058_1085772[c+]r	0.0	0.0	0.0	0.0
A1058_1085860[c+]f	0.0	0.0	0.0	0.0
A1058_1085860[c+]r	0.0	0.0	0.0	0.0
A1058_1085877[c+]f	0.0	0.0	0.0	0.0
